Active-HDL 10.3.3558.6081  2018-08-06 16:00:14

Elaboration top modules:
Verilog Module                Parallel2DSI_tb


----------------------------------------------------------------------------------------------------------
Verilog Module                    | Library     | Info | Compiler Version          | Compilation Options
byte_data_21_                     | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
byte_data_20_                     | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
byte_data_19_                     | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
byte_data_18_                     | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
byte_data_17_                     | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
byte_data_16_                     | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
byte_data_15_                     | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
byte_data_14_                     | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
byte_data_13_                     | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
byte_data_12_                     | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
byte_data_11_                     | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
byte_data_10_                     | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
byte_data_9_                      | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
byte_data_8_                      | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
byte_data_7_                      | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
byte_data_7__MGIOL                | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
byte_data_6_                      | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
byte_data_6__MGIOL                | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
byte_data_5_                      | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
byte_data_5__MGIOL                | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
byte_data_4_                      | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
byte_data_4__MGIOL                | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
byte_data_3_                      | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
byte_data_3__MGIOL                | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
byte_data_2_                      | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
byte_data_2__MGIOL                | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
byte_data_1_                      | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
byte_data_1__MGIOL                | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
byte_data_0_                      | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
byte_data_0__MGIOL                | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
